,precision,recall,f1-score,support
Deskside Carnegie,0.32558139534883723,0.3925233644859813,0.35593220338983056,107.0
G SNOW EXT ATOS CENTRAL USER ACCESS TEAM,0.8077634011090573,0.7845601436265709,0.7959927140255009,557.0
G SNOW EXT ATOS IS MAILING ADMINS,0.5087719298245614,0.4915254237288136,0.5,59.0
G SNOW GR SERVICE DESK,0.6455696202531646,0.796875,0.7132867132867134,64.0
G SNOW IT SERVICE DESK,0.5569620253164557,0.7719298245614035,0.6470588235294117,57.0
G SNOW PL SERVICE DESK,0.5671641791044776,0.59375,0.5801526717557253,64.0
G SNOW RU SERVICE DESK,0.6029411764705882,0.5125,0.5540540540540541,80.0
GBL-WTI-AHS UNIX L1,0.9547738693467337,0.7786885245901639,0.8577878103837472,244.0
GBL-WTI-AHS WINTEL L1,0.8137254901960784,0.8556701030927835,0.8341708542713568,194.0
I-Buy Process Support,0.6413793103448275,0.8157894736842105,0.7181467181467183,114.0
PZC-FJ-ServiceDesk,0.8025751072961373,0.751004016064257,0.7759336099585061,249.0
SD_1stL_SD-UC_NSN_ENG_PH,0.7264957264957265,0.7296137339055794,0.728051391862955,699.0
SD_UC_CoCare_NSN_GL,0.6132075471698113,0.6190476190476191,0.6161137440758294,315.0
Service Desk - GAM,0.3269230769230769,0.53125,0.40476190476190477,64.0
Service Desk - Non Sales,0.7580893682588598,0.6814404432132964,0.7177242888402626,722.0
Service Desk - Sales All,0.7007299270072993,0.7868852459016393,0.7413127413127414,122.0
accuracy,0.7127458905955268,0.7127458905955268,0.7127458905955268,0.7127458905955268
macro avg,0.6470408219041057,0.6808158072438949,0.6587800152284535,3711.0
weighted avg,0.725113342682256,0.7127458905955268,0.7164297107996448,3711.0
